epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,290.611,0.71459,0.37365,0.80634,0.93707,0.93327,0.9586,0.77177,0.7905,0.41831,0.83284,0.000679204,0.000679204,0.000679204
55,295.934,0.746,0.39357,0.81181,0.93986,0.93438,0.9552,0.77563,0.79545,0.42776,0.83517,0.000665057,0.000665057,0.000665057
56,301.285,0.74819,0.39354,0.81669,0.9359,0.93223,0.95674,0.77845,0.78877,0.4133,0.83422,0.000650909,0.000650909,0.000650909
57,306.604,0.70898,0.37304,0.80832,0.93969,0.9321,0.95689,0.76793,0.80649,0.42884,0.83611,0.000636762,0.000636762,0.000636762
58,311.939,0.72068,0.38459,0.81074,0.93475,0.93086,0.95839,0.77578,0.76481,0.4081,0.8331,0.000622615,0.000622615,0.000622615
59,317.275,0.73058,0.38024,0.80669,0.93615,0.93641,0.95657,0.76511,0.80918,0.43977,0.83674,0.000608468,0.000608468,0.000608468
60,322.668,0.72415,0.37792,0.81036,0.93682,0.93324,0.9563,0.78298,0.76315,0.40862,0.83459,0.000594321,0.000594321,0.000594321
61,328.06,0.71202,0.37701,0.80726,0.93043,0.9305,0.95657,0.77853,0.77883,0.41569,0.83361,0.000580174,0.000580174,0.000580174
62,333.38,0.73813,0.38364,0.81168,0.93395,0.93089,0.95388,0.76981,0.80155,0.42065,0.83493,0.000566027,0.000566027,0.000566027
63,338.766,0.71602,0.37891,0.8103,0.92982,0.93267,0.95366,0.7705,0.80263,0.41917,0.83677,0.00055188,0.00055188,0.00055188
64,344.222,0.68832,0.36611,0.80824,0.93465,0.93069,0.95533,0.7766,0.77929,0.42432,0.83429,0.000537733,0.000537733,0.000537733
65,349.547,0.69648,0.36732,0.80705,0.93962,0.93093,0.9582,0.78199,0.76095,0.41192,0.83208,0.000523586,0.000523586,0.000523586
66,354.909,0.70309,0.37507,0.80947,0.93304,0.93223,0.95302,0.78137,0.75955,0.406,0.83371,0.000509438,0.000509438,0.000509438
67,360.294,0.68801,0.36816,0.80716,0.93916,0.92721,0.95523,0.78355,0.75039,0.40883,0.83202,0.000495291,0.000495291,0.000495291
68,365.705,0.70027,0.36942,0.80764,0.93873,0.93333,0.95713,0.78536,0.75966,0.40081,0.8337,0.000481144,0.000481144,0.000481144
69,371.081,0.71895,0.37782,0.80249,0.93834,0.93342,0.95483,0.77786,0.76977,0.40383,0.83538,0.000466997,0.000466997,0.000466997
70,376.032,0.70392,0.36879,0.80509,0.93737,0.92687,0.9575,0.78227,0.7518,0.40007,0.8308,0.00045285,0.00045285,0.00045285
71,381.37,0.6853,0.36239,0.80427,0.93597,0.93415,0.96096,0.78627,0.74505,0.4018,0.82896,0.000438703,0.000438703,0.000438703
72,386.765,0.68833,0.36025,0.80618,0.94139,0.9319,0.95891,0.78445,0.74359,0.39362,0.82933,0.000424556,0.000424556,0.000424556
73,392.07,0.67446,0.35271,0.80305,0.93734,0.92933,0.95779,0.78103,0.75019,0.39416,0.83123,0.000410409,0.000410409,0.000410409
74,397.416,0.68579,0.36306,0.81028,0.93813,0.92805,0.95705,0.78867,0.73612,0.39581,0.83159,0.000396262,0.000396262,0.000396262
75,402.77,0.67495,0.35891,0.80307,0.94045,0.93397,0.95685,0.78474,0.73908,0.39618,0.8294,0.000382115,0.000382115,0.000382115
76,408.149,0.67724,0.35738,0.80644,0.93184,0.93227,0.95536,0.78349,0.75144,0.39849,0.82994,0.000367967,0.000367967,0.000367967
77,413.512,0.67781,0.35832,0.80367,0.93779,0.93481,0.95723,0.78028,0.74299,0.40067,0.83056,0.00035382,0.00035382,0.00035382
78,418.825,0.6617,0.34915,0.80452,0.93777,0.934,0.95766,0.78126,0.76841,0.40584,0.83276,0.000339673,0.000339673,0.000339673
79,424.176,0.66101,0.35052,0.801,0.93494,0.93021,0.9601,0.79126,0.72726,0.39006,0.8311,0.000325526,0.000325526,0.000325526
80,429.492,0.64379,0.33794,0.7993,0.93716,0.9341,0.95926,0.792,0.73037,0.38359,0.83239,0.000311379,0.000311379,0.000311379
81,434.885,0.65147,0.34793,0.80422,0.9391,0.93041,0.95958,0.79115,0.72672,0.38658,0.82984,0.000297232,0.000297232,0.000297232
82,440.239,0.63621,0.33766,0.80575,0.94555,0.93086,0.96248,0.79136,0.73144,0.3819,0.82966,0.000283085,0.000283085,0.000283085
83,445.601,0.64797,0.34006,0.8019,0.94087,0.93714,0.96144,0.79285,0.71414,0.3794,0.82886,0.000268938,0.000268938,0.000268938
84,450.945,0.66279,0.34792,0.80121,0.93187,0.93508,0.95876,0.79134,0.70404,0.37996,0.82839,0.000254791,0.000254791,0.000254791
85,456.38,0.62145,0.33015,0.8002,0.93513,0.93182,0.95778,0.79174,0.71556,0.38432,0.82961,0.000240644,0.000240644,0.000240644
86,461.728,0.64596,0.34311,0.80497,0.93842,0.93535,0.96054,0.79146,0.71911,0.38183,0.82953,0.000226497,0.000226497,0.000226497
87,467.071,0.6385,0.33938,0.79964,0.93852,0.92706,0.95715,0.79012,0.72866,0.38668,0.82877,0.000212349,0.000212349,0.000212349
88,472.356,0.64378,0.33778,0.80167,0.93843,0.93368,0.96229,0.7938,0.70972,0.38094,0.82848,0.000198202,0.000198202,0.000198202
89,477.639,0.63821,0.33604,0.79888,0.93886,0.93001,0.96059,0.79697,0.71798,0.37752,0.82867,0.000184055,0.000184055,0.000184055
90,482.943,0.64033,0.33639,0.80349,0.93898,0.92777,0.96283,0.79232,0.71729,0.3746,0.82994,0.000169908,0.000169908,0.000169908
91,488.817,0.60459,0.32091,0.80617,0.93409,0.9303,0.95855,0.79199,0.72353,0.38196,0.83055,0.000155761,0.000155761,0.000155761
92,494.205,0.59869,0.32256,0.81095,0.94075,0.92851,0.96087,0.79825,0.70427,0.37123,0.82904,0.000141614,0.000141614,0.000141614
93,499.536,0.59976,0.32173,0.80481,0.93788,0.93403,0.96069,0.7977,0.70717,0.37567,0.8287,0.000127467,0.000127467,0.000127467
94,504.923,0.59921,0.31859,0.80521,0.93683,0.93467,0.96288,0.79977,0.70549,0.37369,0.82741,0.00011332,0.00011332,0.00011332
95,510.376,0.58651,0.31955,0.80699,0.93358,0.93229,0.96013,0.79571,0.70515,0.37768,0.82697,9.91726e-05,9.91726e-05,9.91726e-05
96,515.747,0.59479,0.31871,0.8083,0.93472,0.93232,0.9628,0.80265,0.6948,0.36562,0.82708,8.50255e-05,8.50255e-05,8.50255e-05
97,521.135,0.58878,0.31768,0.8117,0.93787,0.93429,0.96205,0.80057,0.68877,0.37025,0.82672,7.08784e-05,7.08784e-05,7.08784e-05
98,526.53,0.57156,0.30975,0.80016,0.93535,0.93337,0.96464,0.80197,0.6876,0.36607,0.82624,5.67313e-05,5.67313e-05,5.67313e-05
99,531.907,0.56185,0.30701,0.80364,0.93534,0.93237,0.96304,0.80146,0.68498,0.36334,0.82696,4.25842e-05,4.25842e-05,4.25842e-05
100,537.262,0.56426,0.30474,0.79937,0.93914,0.93268,0.96576,0.80386,0.6792,0.36358,0.82663,2.84371e-05,2.84371e-05,2.84371e-05
